Nf1	Nf2	Nf3	Rx1	Rx2	Rx3
Mir7055	0	0	0	0	0	0
Mir7056	0	0	0	0	0	0
Mir7057	0	4	1	0	0	1
Mir7058	0	0	0	0	0	0
Mir7059	0	0	5	1	0	1
Mir706	5	4	7	0	2	0
Mir7060	7	4	4	1	0	5
Mir7061	2	3	3	2	0	3
Mir7062	0	0	0	0	0	0
Mir7063	0	1	6	0	0	0
Mir7064	0	0	0	0	0	0
Mir7065	0	0	0	0	0	0
Mir7066	0	0	0	0	0	0
Mir7067	1	0	4	1	1	0
Mir7068	0	0	0	0	0	0
Mir7069	0	0	0	0	0	0
Mir707	0	0	0	0	0	0
Mir7070	0	0	0	0	0	0
Mir7071	0	0	0	0	0	0
Mir7072	0	4	1	0	2	0
Mir7073	0	5	2	0	0	0
Mir7074	0	0	0	0	0	0
Mir7075	0	0	0	0	0	0
Mir7076	0	0	0	0	0	0
Mir7077	0	0	7	1	1	4
Mir7078	16	19	10	3	3	20
Mir7079	0	0	2	0	0	1
Mir708	0	1	0	5	9	1
Mir7080	0	0	0	0	0	0
Mir7081	0	0	0	0	0	3
Mir7082	0	0	0	0	0	0
Mir7083	0	0	0	0	0	0
Mir7084	0	0	0	0	0	0
Mir7085	1	0	0	0	0	0
Mir7086	4	0	1	0	0	0
Mir7087	1	0	0	0	0	0
Mir7088	0	0	0	0	0	0
Mir7089	0	10	2	3	1	6
Mir709	0	0	0	0	0	2
Mir7090	0	0	0	0	0	0
Mir7091	0	0	0	0	1	0
Mir7092	0	0	0	0	0	0
Mir7093	0	0	0	0	0	0
Mir7094-1	0	0	0	0	0	0
Mir7094-2	0	0	0	0	0	0
Mir710	0	0	0	0	0	0
Mir711	0	0	0	0	0	0
Mir7115	19	12	7	3	4	7
Mir7117	3	7	19	0	4	4
Mir7118	0	0	0	0	0	0
Mir7119	0	0	0	0	0	0
Mir713	1	9	0	0	0	4
Mir717	8	0	5	0	1	0
Mir718	0	0	0	0	0	0
Mir719	0	0	0	0	0	0
Mir721	3	0	0	2	0	0
Mir7210	0	0	0	0	0	0
Mir7211	6	31	5	3	2	2
Mir7212	7	1	4	1	3	1
Mir7213	0	0	0	0	0	0
Mir7214	0	0	0	0	0	0
Mir7215	0	0	0	0	0	0
Mir7216	0	0	0	0	0	0
Mir7217	0	0	0	2	0	0
Mir7218	0	0	0	0	0	0
Mir7219	0	0	0	0	0	0
Mir7220	0	0	0	0	0	0
Mir7221	0	0	0	0	0	0
Mir7222	0	0	0	0	0	0
Mir7223	19	18	7	21	24	30
Mir7224	0	0	1	1	0	6
Mir7225	0	0	0	0	0	0
Mir7226	0	0	0	0	0	2
Mir7227	11	31	17	1	4	3
Mir7228	0	0	0	0	0	0
Mir7229	0	0	0	0	0	0
Mir7230	0	0	0	0	0	0
Mir7231	4	4	1	1	2	4
Mir7232	0	0	0	0	0	0
Mir7233	0	0	0	0	0	0
Mir7234	0	0	0	0	0	0
Mir7235	0	0	0	0	0	0
Mir7236	0	0	0	0	0	0
Mir7237	1	0	0	0	2	0
Mir7238	0	0	0	0	0	0
Mir7239	0	0	0	0	0	0
Mir7240	0	0	0	0	0	0
Mir7241	0	0	0	0	0	0
Mir7242	0	0	0	0	0	0
Mir7243	0	0	0	0	0	0
Mir741	0	0	0	0	0	0
Mir742	0	0	0	0	0	0
Mir743	0	0	0	0	0	0
Mir743b	0	0	0	0	0	0
Mir744	1	2	0	1	0	7
Mir7578	0	0	0	1	0	0
Mir758	0	0	0	3	4	3
Mir759	0	0	0	0	0	0
Mir760	0	0	0	0	0	0
Mir761	0	3	5	6	7	1
Mir762	0	0	0	0	0	0
Mir764	0	0	0	0	0	0
Mir7646	0	0	0	0	0	0
Mir7647	0	1	0	0	0	0
Mir7648	0	0	0	0	0	0
Mir7649	0	0	0	0	0	0
Mir7650	23	7	38	24	15	10
Mir7652	0	0	0	0	0	0
Mir7653	0	0	0	0	0	0
Mir7654	0	0	0	0	0	0
Mir7655	1	0	0	0	0	0
Mir7656	3	0	0	1	0	0
Mir7657	0	0	0	0	0	0
Mir7658	0	0	0	0	0	0
Mir7661	0	0	0	0	0	0
Mir7662	0	1	0	0	2	2
Mir7663	3	9	4	1	7	3
Mir7665	0	0	0	0	0	0
Mir7666	0	0	0	0	0	0
Mir7667	0	0	2	0	0	1
Mir7668	0	0	0	0	0	0
Mir7669	0	0	0	0	0	0
Mir767	0	0	0	0	0	0
Mir7670	0	0	0	0	0	0
Mir7671	0	0	0	0	0	0
Mir7672	0	0	0	0	0	0
Mir7673	5	2	1	2	0	4
Mir7674	3	0	1	0	1	1
Mir7675	8	5	1	0	2	4
Mir7676-1	0	0	0	0	0	0
Mir7676-2	0	0	0	0	0	0
Mir7677	0	0	0	0	0	0
Mir7678	0	0	0	0	0	0
Mir7679	2	0	3	0	0	0
Mir7680	0	0	0	0	0	0
Mir7681	3	5	0	3	2	1
Mir7682	29	46	36	32	26	48
Mir7684	0	0	0	0	0	0
Mir7685	0	0	0	0	0	0
Mir7686	0	1	2	1	0	0
Mir7687	0	0	0	0	0	2
Mir770	0	0	0	0	0	0
Mir7b	0	0	0	0	0	0
Mir802	0	0	0	0	0	0
Mir804	0	3	2	1	0	0
Mir8091	29	18	10	11	8	4
Mir8092	0	0	0	0	0	0
Mir8093	0	0	0	0	0	0
Mir8094	7	0	1	1	0	0
Mir8095	0	0	0	0	0	1
Mir8096	0	0	0	0	0	0
Mir8097	0	0	0	0	0	0
Mir8098	0	0	0	0	0	0
Mir8099-1	0	0	0	0	0	0
Mir8099-2	0	0	0	0	0	0
Mir8100	13	10	11	7	0	4
Mir8101	0	0	0	0	0	0
Mir8102	0	0	0	0	0	0
Mir8103	1	1	3	3	0	0
Mir8104	0	0	0	0	0	0
Mir8105	0	0	0	0	0	0
Mir8106	4	4	7	0	0	1
Mir8107	0	0	0	1	0	3
Mir8108	0	0	0	0	0	0
Mir8109	0	0	0	0	0	0
Mir8110	0	0	0	0	0	0
Mir8111	0	1	0	0	0	0
Mir8112	0	0	0	0	1	0
Mir8113	8	2	8	1	4	6
Mir8114	0	0	0	0	0	0
Mir8115	22	9	21	7	16	10
Mir8116	2	0	0	1	8	0
Mir8118	1	5	5	0	0	0
Mir8119	0	0	0	0	0	0
Mir8120	0	0	0	0	0	0
Mir871	0	0	0	0	0	0
Mir872	4	13	23	3	5	8
Mir873	0	0	0	0	0	0
Mir873b	0	0	0	0	0	0
Mir874	0	0	0	0	0	0
Mir875	0	0	6	0	4	1
Mir876	2	0	0	6	0	3
Mir877	0	0	0	0	0	0
Mir878	0	0	0	0	0	0
Mir879	0	0	0	0	0	0
Mir880	0	0	0	0	0	0
Mir881	0	0	0	0	0	0
Mir882	0	0	1	0	0	4
Mir883a	0	0	0	0	0	0
Mir883b	0	0	0	0	0	0
Mir9-1	0	0	0	0	0	0
Mir9-2	0	0	0	0	3	1
Mir9-3	0	0	0	0	0	0
Mir92-1	0	0	0	0	0	0
Mir92-2	0	0	0	0	0	0
Mir92b	0	0	0	0	0	0
Mir93	1	0	0	0	0	0
Mir96	0	0	0	0	0	0
Mir98	5	9	3	3	3	1
Mir99a	39	20	27	26	20	15
Mir99b	0	0	0	0	0	0
Mira	67	21	44	123	106	144
Mirg	10	9	16	44	36	77
Mirlet7a-1	2	5	1	0	4	0
Mirlet7a-2	24	4	5	1	6	2
Mirlet7b	0	0	0	0	0	0
Mirlet7bhg	270	248	261	126	168	194
Mirlet7c-1	15	7	3	4	3	4
Mirlet7c-2	0	0	0	0	0	0
Mirlet7d	11	13	6	2	5	7
Mirlet7e	0	0	0	0	1	2
Mirlet7f-1	14	8	11	11	13	12
Mirlet7f-2	2	1	0	0	4	0
Mirlet7g	7	19	6	1	7	12
Mirlet7i	0	0	0	0	0	0
Mirlet7j	0	0	0	0	0	0
Mirlet7k	0	0	0	0	0	0
Mis12	341	335	397	344	328	378
Mis18a	50	62	30	25	22	32
Mis18bp1	100	131	162	116	54	68
Misp	4	1	12	1	1	14
Mitd1	147	144	227	87	130	121
Mitf	496	308	396	369	300	527
Mixl1	1	0	0	0	0	0
Mki67	1317	2183	1832	779	284	989
Mkks	266	368	276	276	299	258
Mkl1	446	384	589	223	225	336
Mkl2	2301	2879	2102	1822	1839	2455
Mkln1	1224	1305	980	997	993	1194
Mkln1os	54	45	25	50	52	109
Mknk1	373	398	475	224	207	265
Mknk2	159	302	189	265	375	135
Mkrn1	657	789	663	587	608	803
Mkrn2	403	486	432	392	427	487
Mkrn3	3	23	8	12	7	5
Mks1	60	42	32	42	17	35
Mkx	94	140	65	36	58	75
Mlana	0	0	0	2	1	1
Mlc1	1	8	0	15	40	26
Mlec	6211	8706	7915	7443	7595	9156
Mlf1	4	53	2	11	160	15
Mlf2	444	680	497	489	624	643
Mlh1	433	505	614	341	340	561
Mlh3	804	924	868	618	705	741
Mlip	417	666	441	1374	1267	1607
Mlkl	173	277	238	136	95	136
Mllt1	172	225	171	169	140	186
Mllt10	2353	2754	2450	1737	1574	1767
Mllt11	249	419	225	581	776	1445
Mllt3	1044	1587	865	1038	1224	1554
Mllt4	1090	1281	1040	810	1285	1141
Mllt6	1219	1839	1305	1110	1011	1340
Mlph	207	560	170	197	161	190
Mlst8	76	50	113	124	154	186
Mlx	171	173	115	142	102	125
Mlxip	1088	2201	1639	1274	1214	1286
Mlxipl	379	185	340	1353	2016	192
Mlycd	85	108	69	82	133	50
Mmaa	146	158	215	158	255	180
Mmab	157	266	164	167	353	287
Mmachc	299	412	282	319	495	364
Mmadhc	549	587	670	467	759	504
Mmd	270	143	295	536	425	166
Mmd2	47	131	40	383	151	296
Mme	1820	1468	1642	3950	5137	4032
Mmel1	0	0	0	0	0	1
Mmgt1	606	648	648	753	809	971
Mmgt2	78	77	164	60	75	79
Mmp10	0	0	0	0	0	0
Mmp11	124	82	51	39	70	107
Mmp12	39	0	25	2	4	2
Mmp13	15	260	5	8	11	92
Mmp14	2042	1755	1869	560	368	637
Mmp15	896	868	1128	775	511	941
Mmp16	208	219	127	146	94	201
Mmp17	1235	1715	1767	869	276	325
Mmp19	1013	1108	943	450	307	265
Mmp1a	0	0	0	0	0	0
Mmp1b	0	0	0	0	0	0
Mmp2	6974	4451	4577	1008	790	974
Mmp20	0	0	0	0	0	0
Mmp21	7	18	27	6	3	10
Mmp23	40	23	69	41	22	36
Mmp24	8	26	15	41	50	112
Mmp25	71	118	44	118	166	315
Mmp27	3	6	1	5	0	0
Mmp28	104	99	88	51	36	54
Mmp3	27	8	18	6	3	1
Mmp7	2	0	0	0	0	0
Mmp8	14	212	19	14	14	76
Mmp9	81	205	87	51	18	63
Mmrn1	109	62	72	34	72	15
Mmrn2	107	89	60	135	125	100
Mms19	455	562	435	348	339	458
Mms22l	91	63	86	41	19	32
Mn1	12	132	30	9	78	14
Mnat1	159	282	164	130	175	226
Mnd1	19	8	3	21	15	20
Mnd1-ps	9	2	7	15	0	12
Mnda	110	136	207	33	4	10
Mndal	1182	1371	2610	345	239	230
Mns1	74	118	86	71	39	61
Mnt	340	456	430	305	313	515
Mnx1	0	0	0	0	0	0
Moap1	0	2	0	0	0	0
Mob1a	411	318	410	165	127	220
Mob1b	727	602	640	561	612	363
Mob2	60	92	75	58	75	86
Mob3a	201	129	234	109	76	211
Mob3b	1100	1004	960	2062	1887	3205
Mob3c	1162	629	1352	701	572	519
Mob4	1433	1622	1517	1206	1243	1661
Mobp	2	4	0	4	16	12
Mocos	262	268	337	221	192	212
Mocs1	791	1211	616	617	705	547
Mocs2	1852	2059	2198	1641	1966	1828
Mocs3	4	16	2	4	7	3
Mog	0	3	1	0	0	0
Mogat1	8	2	0	8	25	9
Mogat2	1	1	2	0	8	1
Mogs	65	59	55	48	43	53
Mok	38	94	54	30	68	77
Mon1a	86	78	58	38	65	82
Mon1b	490	562	521	499	447	706
Mon2	2105	2661	2000	1585	1415	1941
Morc1	19	39	14	0	17	22
Morc2a	1149	1554	1320	1137	811	1217
Morc2b	0	8	12	26	37	53
Morc3	848	884	1264	585	487	531
Morc4	334	486	354	305	237	365
Morf4l1	1328	1576	1538	1207	1245	1713
Morf4l2	791	988	928	621	616	923
Morn1	39	27	34	29	28	33
Morn2	44	80	49	73	91	75
Morn3	22	3	8	4	2	1
Morn4	206	261	318	299	322	742
Morn5	0	4	0	0	0	2
Mos	0	0	0	2	1	0
Mospd1	325	399	264	364	501	391
Mospd2	816	823	896	646	545	763
Mospd3	335	442	315	203	243	271
Mospd4	1	4	1	0	1	4
Mov10	236	179	298	98	64	114
Mov10l1	7	2	0	4	4	25
Moxd1	338	800	294	345	320	876
Moxd2	0	0	0	1	0	0
Mpc1	354	279	475	898	1460	386
Mpc2	295	290	388	770	1062	305
Mpdu1	104	87	81	90	93	76
Mpdz	1840	2019	1569	2098	2026	2778
Mpeg1	4107	3273	7944	688	196	774
Mpg	72	89	44	33	34	51
Mphosph10	299	372	398	303	250	370
Mphosph6	193	189	173	124	92	114
Mphosph8	720	796	723	825	786	1287
Mphosph9	442	402	337	346	297	524
Mpi	418	427	333	317	350	347
Mpl	10	37	24	12	28	10
Mplkip	628	610	707	506	454	578
Mpnd	116	168	111	172	179	293
Mpo	4	298	4	17	5	200
Mpp1	710	627	766	646	540	715
Mpp2	110	236	171	239	188	335
Mpp3	29	32	8	24	24	17
Mpp4	36	31	22	26	31	41
Mpp5	1919	2123	1950	1851	1899	2242
Mpp6	695	943	816	674	961	972
Mpp7	971	1438	886	1548	884	983
Mppe1	63	53	79	40	34	48
Mpped1	0	1	4	5	9	7
Mpped2	53	197	50	252	273	649
Mprip	2536	3279	2841	2655	2685	3416
Mpst	15	12	15	37	14	12
Mptx1	0	0	0	0	0	0
Mptx2	0	0	0	1	0	0
Mpv17	1211	1520	1460	1413	1279	1475
Mpv17l	805	858	858	723	701	945
Mpv17l2	49	81	50	58	41	70
Mpz	4058	3642	3978	8689	7099	13107
Mpzl1	206	223	241	159	260	310
Mpzl2	262	731	206	257	355	181
Mpzl3	41	35	35	22	10	13
Mr1	788	648	670	370	357	440
Mrap	49	8	66	161	170	29
Mrap2	46	36	31	21	26	59
Mras	1273	1706	1181	2041	1667	2891
Mrc1	3062	2454	4050	910	373	771
Mrc2	924	1483	1124	407	278	370
Mre11a	182	289	265	142	122	177
Mreg	33	180	107	149	424	55
Mrfap1	1512	1804	1877	1702	1574	1925
Mrgbp	26	33	23	22	20	29
Mrgpra1	0	4	1	9	10	13
Mrgpra2a	0	7	0	0	7	24
Mrgpra2b	5	12	2	7	6	34
Mrgpra3	14	147	11	85	82	236
Mrgpra4	4	3	0	16	18	23
Mrgpra6	2	4	0	16	11	18
Mrgpra9	8	25	1	13	6	18
Mrgprb1	69	36	57	59	15	20
Mrgprb2	32	11	43	12	13	9
Mrgprb3	4	0	0	0	0	0
Mrgprb4	36	233	25	159	195	499
Mrgprb5	6	42	0	39	69	137
Mrgprb8	1	0	0	0	0	0
Mrgprd	84	176	99	789	795	1444
Mrgpre	577	737	487	671	460	1089
Mrgprf	156	110	179	89	55	84
Mrgprg	12	0	6	0	0	0
Mrgprh	30	33	2	4	14	23
Mrgprx1	38	106	18	91	86	145
Mrgprx2	80	14	21	14	15	9
Mri1	58	84	71	63	73	81
Mrm1	110	108	112	107	120	132
Mro	18	11	14	28	7	18
Mroh1	322	374	329	269	325	479
Mroh2a	17	12	16	11	2	2
Mroh2b	0	0	0	5	6	7
Mroh4	5	7	0	21	10	11
Mroh5	0	0	0	0	0	0
Mroh6	2	6	3	2	2	0
Mroh7	34	52	35	29	26	18
Mroh8	9	13	0	15	4	12
Mroh9	0	0	0	0	0	0
Mrpl1	301	240	357	205	204	244
Mrpl10	163	190	266	199	272	185
Mrpl11	50	84	113	97	111	150
Mrpl12	37	84	74	173	131	119
Mrpl13	182	207	236	225	247	175
Mrpl14	46	53	34	46	56	55
Mrpl15	236	296	238	295	294	244
Mrpl16	223	215	224	317	435	254
Mrpl17	792	854	942	748	862	811
Mrpl18	131	190	160	171	183	189
Mrpl19	537	699	506	521	552	563
Mrpl2	52	60	75	63	81	38
Mrpl20	87	81	84	72	101	114
Mrpl21	74	49	84	92	106	90
Mrpl22	85	104	119	82	78	87
Mrpl23	43	69	42	41	52	27
Mrpl24	90	69	54	57	53	34
Mrpl27	272	288	257	266	259	343
Mrpl28	30	39	54	29	60	69
Mrpl3	201	180	283	195	289	228
Mrpl30	364	496	311	446	688	360
Mrpl32	137	134	137	156	128	136
Mrpl33	243	274	249	125	110	153
Mrpl34	83	75	75	71	162	82
Mrpl35	801	871	727	790	793	906
Mrpl36	298	332	357	304	349	359
Mrpl37	223	298	390	276	230	275
Mrpl38	50	64	68	110	131	66
Mrpl39	489	463	477	468	621	490
Mrpl4	357	407	406	413	524	342
Mrpl40	118	113	83	82	114	109
Mrpl41	48	40	60	84	71	136
Mrpl42	325	325	378	392	665	299
Mrpl43	118	244	238	216	207	245
Mrpl44	103	94	103	100	122	107
Mrpl45	92	90	105	89	137	81
Mrpl46	60	69	60	43	70	86
Mrpl47	45	65	87	90	108	106
Mrpl48	155	157	191	115	128	186
Mrpl49	190	328	308	232	218	242
Mrpl50	121	191	169	202	318	172
Mrpl51	325	318	291	327	309	303
Mrpl52	107	73	120	55	76	103
Mrpl53	70	87	67	75	92	65
Mrpl54	40	29	40	32	43	32
Mrpl55	82	58	59	76	65	77
Mrpl57	189	244	259	245	301	222
Mrpl9	179	224	180	197	229	204
Mrps10	95	108	171	220	179	130
Mrps11	30	33	43	42	40	49
Mrps12	37	46	47	62	54	63
Mrps14	287	226	337	244	397	313
Mrps15	134	150	126	126	160	173
Mrps16	34	58	71	39	34	26
Mrps17	142	136	139	135	155	190
Mrps18a	66	100	86	85	110	118
Mrps18b	72	49	76	84	104	91
Mrps18c	80	97	108	157	112	88
Mrps2	239	182	231	315	370	248
Mrps21	100	125	177	142	166	139
Mrps22	139	171	151	161	274	177
Mrps23	75	125	107	109	133	127
Mrps24	116	79	134	109	125	91
Mrps25	149	234	309	191	211	183
Mrps26	36	58	41	61	60	59
Mrps27	95	83	117	159	192	134
Mrps28	25	42	40	64	64	39
Mrps30	88	110	103	99	128	85
Mrps31	154	262	306	321	322	290
Mrps33	250	304	390	334	426	569
Mrps34	16	24	25	20	33	38
Mrps35	72	70	69	105	143	87
Mrps36	191	163	223	279	498	208
Mrps5	63	115	74	114	90	97
Mrps6	151	168	102	161	155	266
Mrps7	221	252	298	243	331	271
Mrps9	111	163	94	137	152	122
Mrrf	197	142	160	156	191	225
Mrs2	288	373	327	357	393	355
Mrto4	35	53	85	45	54	62
Mrvi1	287	281	265	219	244	236
Ms4a1	3	1	41	3	13	15
Ms4a10	0	0	0	0	0	0
Ms4a13	0	0	0	0	0	0
Ms4a15	0	0	4	0	2	0
Ms4a18	7	0	0	0	0	0
Ms4a2	63	36	39	29	28	49
Ms4a3	0	4	1	1	12	24
Ms4a4b	72	24	99	32	1	14
Ms4a4c	279	212	713	22	6	11
Ms4a4d	86	148	207	116	40	46
Ms4a5	0	0	0	0	4	0
Ms4a6b	352	586	893	156	47	47
Ms4a6c	519	512	834	189	55	136
Ms4a6d	209	257	294	40	11	33
Ms4a7	357	325	646	54	41	139
Ms4a8a	29	55	25	8	7	9
Msantd1	31	34	19	13	3	37
Msantd2	269	312	429	272	234	249
Msantd3	32	62	27	59	46	47
Msantd4	558	1115	695	554	651	871
Msc	17	17	19	15	25	17
Msgn1	0	0	0	0	0	0
Msh2	264	384	397	276	254	451
Msh3	176	182	191	152	166	182
Msh4	16	8	2	18	16	9
Msh5	34	59	45	25	35	51
Msh6	341	429	416	276	190	306
Msi1	28	18	13	10	7	14
Msi2	4250	5053	3906	2814	3205	3392
Msl1	4364	5700	4698	4077	3387	4952
Msl2	1473	1551	1411	1201	1012	1261
Msl3	555	640	433	403	352	375
Msl3l2	98	57	77	59	44	47
Msln	53	35	65	13	2	23
Mslnl	0	0	0	0	2	1
Msmb	0	0	0	1	0	0
Msmo1	242	333	307	327	396	757
Msmp	0	0	0	0	0	0
Msn	21356	23470	28969	11791	9488	17005
Msr1	498	337	822	181	94	165
Msra	62	35	27	56	119	46
Msrb1	85	181	120	221	142	186
Msrb2	57	108	114	65	135	101
Msrb3	616	1098	723	873	1274	591
Mss51	82	362	70	22	77	21
Mst1	31	48	66	56	26	63
Mst1r	50	99	83	27	16	37
Mstn	1	53	1	1	403	0
Msto1	79	83	73	55	56	47
Msx1	0	0	0	0	0	0
Msx1os	4	6	8	0	2	3
Msx2	0	0	1	1	0	0
Msx3	0	0	2	0	0	0
Mt1	269	856	195	406	166	254
Mt2	672	3348	307	1171	264	299
Mt3	1	18	3	12	10	15
Mt4	0	1	0	0	2	0
Mta1	297	389	337	216	228	308
Mta2	573	621	607	357	318	481
Mta3	844	960	896	663	697	999
Mtag2	2	1	14	2	4	8
Mtap	537	303	324	225	317	260
Mtap7d3	109	108	70	31	44	41
Mtbp	184	156	254	98	99	158
Mtch1	280	378	354	329	363	560
Mtch2	564	475	474	644	892	659
Mtcl1	214	295	129	343	442	1054
Mtcp1	172	97	121	94	87	76
Mtdh	2435	2911	2327	1746	1956	1748
Mterf1a	9	21	21	19	24	19
Mterf1b	23	38	19	18	9	14
Mterfd1	440	361	362	284	277	253
Mterfd2	7568	11904	4717	2027	1455	2202
Mterfd3	66	119	46	54	94	62
Mtf1	693	988	826	634	579	753
Mtf2	635	712	644	550	566	538
Mtfmt	379	410	377	327	272	301
Mtfp1	19	37	16	71	101	43
Mtfr1	522	375	377	299	381	363
Mtfr1l	297	395	439	421	496	526
Mtfr2	51	46	25	38	21	45
Mtg1	82	65	79	96	85	112
Mtg2	67	102	78	46	26	61
Mthfd1	279	305	249	244	270	283
Mthfd1l	374	378	331	244	237	388
Mthfd2	66	97	71	35	28	75
Mthfd2l	91	117	102	85	95	82
Mthfr	430	349	539	319	232	452
Mthfs	26	25	47	24	23	32
Mthfsd	113	93	99	89	80	118
Mtif2	1211	1455	1301	1092	986	1197
Mtif3	117	97	117	70	130	127
Mtl5	8	25	24	86	17	25
Mtm1	468	412	443	306	360	346
Mtmr1	567	572	663	513	543	602
Mtmr10	587	670	526	521	381	497
Mtmr11	270	276	236	185	106	163
Mtmr12	1100	1246	1374	831	760	1296
Mtmr14	299	312	342	236	290	260
Mtmr2	1910	2263	2095	1985	1763	2226
Mtmr3	1120	1409	1145	896	672	1168
Mtmr4	570	765	865	729	551	1129
Mtmr6	2110	2708	2546	2733	2667	4683
Mtmr7	123	161	82	212	207	532
Mtmr9	136	194	229	258	250	367
Mtnr1a	1	0	6	0	0	0
Mtnr1b	0	0	0	0	0	0
Mto1	244	230	272	243	215	239
Mtor	1556	1819	1483	1426	1935	1783
Mtpap	408	433	396	271	301	264
Mtpn	5452	5201	5744	4812	3901	6007
Mtr	492	685	663	528	367	537
Mtrf1	42	135	66	41	67	51
Mtrf1l	252	240	204	178	219	224
Mtrr	218	212	270	155	219	175
Mtss1	968	983	1026	938	1169	1283
Mtss1l	1197	1509	1832	1019	1048	1612
Mttp	66	68	73	97	58	73
Mturn	1070	1535	917	1564	1488	2094
Mtus1	2525	3089	2573	2570	4155	3665
Mtus2	96	186	80	169	229	403
Mtx1	75	77	85	71	40	85
Mtx2	416	490	463	698	903	685
Mtx3	2540	2697	2333	2250	2317	2825
Muc1	62	92	81	51	23	69
Muc13	5	10	0	8	21	0
Muc15	225	298	138	105	108	274
Muc19	15	1	4	2	2	4
Muc2	18	15	2	31	28	86
Muc20	0	0	0	0	0	2
Muc4	0	1	7	0	9	0
Muc5ac	0	0	0	0	0	0
Muc5b	49	51	32	32	39	55
Muc6	387	586	358	343	209	408
Mucl1	0	0	0	0	0	0
Mug-ps1	0	0	0	0	3	0
Mug1	0	0	0	1	0	0
Mug2	0	0	0	2	0	0
Mul1	110	167	152	122	158	135
Mum1	131	129	101	92	80	194
Mum1l1	26	22	12	33	34	13
Mup1	1	0	0	3	0	0
Mup10	705	48	155	3804	175	78
Mup11	0	0	0	0	0	0
Mup12	0	0	0	0	0	0
Mup13	1	0	0	1	0	0
Mup14	179	14	40	1017	43	20
Mup15	0	0	0	0	0	0
Mup16	0	0	0	0	0	0
Mup17	0	0	0	0	0	0
Mup19	0	0	0	0	0	0
Mup2	0	0	0	0	0	0
Mup20	0	0	1	0	0	0
Mup21	0	8	0	0	0	0
Mup3	0	2	0	1	0	1
Mup4	0	0	0	0	0	0
Mup5	0	0	0	0	0	0
Mup6	0	0	0	0	0	0
Mup7	41	3	12	170	10	7
Mup8	0	0	0	0	0	0
Mup9	2	1	1	7	0	0
Murc	15	65	1	13	229	14
Mus81	81	143	60	69	69	90
Musk	110	338	58	163	361	182
Mustn1	104	272	83	192	77	104
Mut	951	1016	776	1281	1369	919
Mutyh	46	42	35	21	20	27
Mvb12a	45	47	41	27	15	47
Mvb12b	2408	2145	2698	1925	1377	2323
Mvd	32	56	57	44	63	76
Mvk	93	95	82	91	72	177
Mvp	462	577	628	342	276	356
Mx1	305	161	751	39	20	79
Mx2	115	135	319	60	28	84
Mxd1	620	980	601	422	392	649
Mxd3	7	4	7	1	0	10
Mxd4	130	175	154	108	116	97
Mxi1	424	856	390	525	609	507
Mxra7	779	746	1179	516	409	549
Mxra8	2865	4230	3736	1815	1226	2110
Myadm	6373	8136	7026	5394	4365	6092
Myadml2	3	33	2	15	51	16
Myb	18	28	12	6	7	25
Mybbp1a	535	727	743	437	471	551
Mybl1	274	331	299	189	199	290
Mybl2	41	74	55	8	7	19
Mybpc1	54	1885	0	7	692	28
Mybpc2	26	1443	3	24	6069	85
Mybpc3	5	1	19	5	1	0
Mybph	39	201	14	18	21	18
Mybphl	2	1	8	0	0	4
Myc	309	290	478	210	65	215
Mycbp	634	740	622	670	818	840
Mycbp2	7788	7904	9235	6210	6103	9410
Mycbpap	9	16	28	14	8	29
Mycl	7	46	45	23	10	13
Mycn	16	12	60	13	32	58
Mycs	0	0	0	0	0	0
Myct1	33	69	41	32	59	47
Myd88	106	108	150	37	50	52
Myef2	2809	2376	2185	1362	1059	1684
Myeov2	218	240	269	327	346	358
Myf5	0	7	0	0	4	0
Myf6	0	46	0	0	20	0
Myg1	146	109	138	108	94	143
Myh1	289	11051	5	117	5038	57
Myh10	1044	1328	1259	1093	982	1841
Myh11	922	751	688	595	811	386
Myh13	0	24	4	3	5	0
Myh14	147	229	235	313	289	373
Myh15	0	6	0	0	0	6
Myh2	206	7163	3	37	1780	100
Myh3	9	85	0	3	2	8
Myh4	99	13802	0	222	100050	565
Myh6	169	111	181	148	133	210
Myh7	11	243	0	2	6	0
Myh7b	27	39	9	6	6	15
Myh8	1	29	0	22	37	4
Myh9	2853	3721	3762	1859	1442	2286
Myl1	93	2876	41	107	8512	112
Myl10	2	2	0	0	2	0
Myl12a	355	415	428	200	204	214
Myl12b	867	1054	1247	820	723	1246
Myl2	2	114	1	1	0	5
Myl3	0	12	0	0	10	0
Myl4	10	8	11	1	4	8
Myl6	724	909	840	815	705	1072
Myl6b	104	195	191	146	206	179
Myl7	5	0	31	0	0	0
Myl9	249	320	185	266	217	247
Mylip	603	451	505	496	412	492
Mylk	1164	1110	1246	971	928	676
Mylk2	23	322	10	11	301	8
Mylk3	17	0	7	1	0	6
Mylk4	347	4277	228	245	7626	354
Mylpf	20	686	33	9	2268	17
Mynn	693	704	753	615	576	669
Myo10	2737	2262	3588	1376	1320	1744
Myo15	6	6	4	2	8	9
Myo16	31	78	79	51	54	101
Myo18a	1151	1537	1451	976	1108	1336
Myo18b	21	322	7	7	369	5
Myo19	168	228	222	163	163	111
Myo1a	4	75	42	89	114	290
Myo1b	1063	1724	1233	1539	1385	2119
Myo1c	1148	1378	1369	1008	743	942
Myo1d	880	1032	781	846	718	1121
Myo1e	768	998	847	1036	1173	2097
